Time,Cores,Active
100,small,2
100,medium,2
100,large,3
200,small,2
200,medium,0
200,large,2
300,small,2
300,medium,0
300,large,2
400,small,2
400,medium,2
400,large,2
500,small,2
500,medium,1
500,large,2
600,small,2
600,medium,2
600,large,2
700,small,2
700,medium,2
700,large,2
800,small,2
800,medium,2
800,large,2
900,small,0
900,medium,0
900,large,0
1000,small,0
1000,medium,0
1000,large,0
1100,small,2
1100,medium,2
1100,large,2
1200,small,1
1200,medium,0
1200,large,3
1300,small,2
1300,medium,2
1300,large,2
1400,small,2
1400,medium,2
1400,large,3
1500,small,2
1500,medium,0
1500,large,4
1600,small,2
1600,medium,1
1600,large,4
1700,small,2
1700,medium,2
1700,large,4
1800,small,2
1800,medium,0
1800,large,3
1900,small,2
1900,medium,1
1900,large,2
2000,small,2
2000,medium,1
2000,large,2
2100,small,2
2100,medium,2
2100,large,3
2200,small,2
2200,medium,2
2200,large,3
2300,small,2
2300,medium,2
2300,large,2
2400,small,2
2400,medium,0
2400,large,3
2500,small,2
2500,medium,0
2500,large,2
2600,small,2
2600,medium,2
2600,large,2
2700,small,2
2700,medium,1
2700,large,2
2800,small,2
2800,medium,1
2800,large,2
2900,small,0
2900,medium,0
2900,large,0
3000,small,0
3000,medium,0
3000,large,0
3100,small,2
3100,medium,2
3100,large,3
3200,small,2
3200,medium,2
3200,large,2
3300,small,2
3300,medium,2
3300,large,3
3400,small,2
3400,medium,2
3400,large,3
3500,small,2
3500,medium,0
3500,large,3
3600,small,2
3600,medium,1
3600,large,3
3700,small,2
3700,medium,2
3700,large,3
3800,small,2
3800,medium,2
3800,large,3
3900,small,2
3900,medium,2
3900,large,2
4000,small,2
4000,medium,2
4000,large,2
4100,small,2
4100,medium,2
4100,large,2
4200,small,2
4200,medium,2
4200,large,3
4300,small,2
4300,medium,2
4300,large,2
4400,small,2
4400,medium,2
4400,large,3
4500,small,2
4500,medium,1
4500,large,2
4600,small,2
4600,medium,1
4600,large,2
4700,small,2
4700,medium,1
4700,large,2
4800,small,2
4800,medium,1
4800,large,2
4900,small,2
4900,medium,1
4900,large,2
5000,small,2
5000,medium,1
5000,large,2
5100,small,0
5100,medium,0
5100,large,0
5200,small,0
5200,medium,0
5200,large,0
5300,small,2
