Time (MS),Core Type,Frequency
100,small 1,738000
100,small 2,738000
100,small 3,738000
100,small 4,0
100,medium1,910000
100,medium2,910000
100,large1,1106000
100,large2,0
200,small 1,930000
200,small 2,930000
200,small 3,0
200,small 4,0
200,medium1,799000
200,medium2,0
200,large1,1582000
200,large2,0
300,small 1,930000
300,small 2,930000
300,small 3,0
300,small 4,0
300,medium1,1663000
300,medium2,0
300,large1,500000
300,large2,0
400,small 1,1328000
400,small 2,1328000
400,small 3,1328000
400,small 4,0
400,medium1,2130000
400,medium2,0
400,large1,1106000
400,large2,0
500,small 1,300000
500,small 2,300000
500,small 3,300000
500,small 4,0
500,medium1,1836000
500,medium2,0
500,large1,500000
500,large2,0
600,small 1,1328000
600,small 2,1328000
600,small 3,1328000
600,small 4,0
600,medium1,2130000
600,medium2,0
600,large1,1106000
600,large2,0
700,small 1,1328000
700,small 2,1328000
700,small 3,1328000
700,small 4,0
700,medium1,2130000
700,medium2,0
700,large1,1106000
700,large2,0
800,small 1,1803000
800,small 2,1803000
800,small 3,1803000
800,small 4,0
800,medium1,553000
800,medium2,0
800,large1,2401000
800,large2,0
900,small 1,1803000
900,small 2,1803000
900,small 3,1803000
900,small 4,0
900,medium1,553000
900,medium2,0
900,large1,2401000
900,large2,0
1000,small 1,1598000
1000,small 2,0
1000,small 3,0
1000,small 4,0
1000,medium1,1663000
1000,medium2,1663000
1000,large1,2507000
1000,large2,0
1100,small 1,1401000
1100,small 2,1401000
1100,small 3,1401000
1100,small 4,0
1100,medium1,1663000
1100,medium2,0
1100,large1,500000
1100,large2,0
1200,small 1,1328000
1200,small 2,1328000
1200,small 3,1328000
1200,small 4,0
1200,medium1,1197000
1200,medium2,1197000
1200,large1,1826000
1200,large2,0
1300,small 1,1598000
1300,small 2,1598000
1300,small 3,0
1300,small 4,0
1300,medium1,2130000
1300,medium2,2130000
1300,large1,1426000
1300,large2,1426000
1400,small 1,1803000
1400,small 2,1803000
1400,small 3,1803000
1400,small 4,0
1400,medium1,2253000
1400,medium2,2253000
1400,large1,2802000
1400,large2,2802000
1500,small 1,1803000
1500,small 2,1803000
1500,small 3,1803000
1500,small 4,0
1500,medium1,2130000
1500,medium2,2130000
1500,large1,2802000
1500,large2,2802000
