Time (MS),Core Type,Frequency
100,large2,0
200,large2,0
300,large2,0
400,large2,0
500,large2,0
600,large2,0
700,large2,0
800,large2,0
900,large2,0
1000,large2,0
1100,large2,0
1200,large2,0
1300,large2,1426000
1400,large2,2802000
1500,large2,2802000
1600,large2,0
1700,large2,0
1800,large2,0
1900,large2,0
2000,large2,0
2100,large2,0
2200,large2,0
2300,large2,0
2400,large2,0
2500,large2,0
2600,large2,0
2700,large2,500000
2800,large2,0
2900,large2,851000
3000,large2,0
3100,large2,0
3200,large2,0
3300,large2,0
3400,large2,0
3500,large2,0
3600,large2,0
3700,large2,0
3800,large2,0
3900,large2,0
4000,large2,0
4100,large2,0
4200,large2,0
4300,large2,0
4400,large2,0
4500,large2,0
4600,large2,0
4700,large2,0
4800,large2,0
4900,large2,0
5000,large2,0
5100,large2,0
5200,large2,0
5300,large2,0
5400,large2,0
5500,large2,0
5600,large2,0
5700,large2,0
5800,large2,0
5900,large2,0
6000,large2,500000
6100,large2,0
6200,large2,0
6300,large2,0
6400,large2,0
6500,large2,0
6600,large2,0
6700,large2,0
6800,large2,0
6900,large2,0
7000,large2,0
7100,large2,0
7200,large2,0
7300,large2,0
7400,large2,0
7500,large2,0
7600,large2,0
7700,large2,0
7800,large2,0
7900,large2,0
8000,large2,0
8100,large2,0
8200,large2,0
8300,large2,0
8400,large2,0
8500,large2,0
8600,large2,500000
8700,large2,0
8800,large2,500000
8900,large2,0
9000,large2,0
9100,large2,0
9200,large2,0
9300,large2,0
9400,large2,0
9500,large2,0
9600,large2,0
9700,large2,0
9800,large2,0
9900,large2,0
10000,large2,500000
10100,large2,0
10200,large2,0
10300,large2,0
10400,large2,0
10500,large2,0
10600,large2,0
10700,large2,0
10800,large2,0
10900,large2,0
11000,large2,0
11100,large2,0
11200,large2,0
11300,large2,0
11400,large2,0
11500,large2,0
11600,large2,0
11700,large2,0
11800,large2,0
11900,large2,0
12000,large2,0
12100,large2,500000
12200,large2,0
12300,large2,0
12400,large2,0
12500,large2,0
12600,large2,0
12700,large2,0
12800,large2,0
12900,large2,0
13000,large2,0
13100,large2,0
13200,large2,0
13300,large2,500000
13400,large2,0
13500,large2,0
13600,large2,0
13700,large2,0
13800,large2,0
13900,large2,0
14000,large2,0
14100,large2,0
14200,large2,0
14300,large2,0
14400,large2,0
14500,large2,0
14600,large2,0
14700,large2,0
14800,large2,0
14900,large2,0
15000,large2,0
15100,large2,0
15200,large2,0
15300,large2,0
15400,large2,0
15500,large2,500000
15600,large2,0
15700,large2,0
15800,large2,0
15900,large2,0
16000,large2,0
16100,large2,0
16200,large2,0
16300,large2,0
16400,large2,0
16500,large2,0
16600,large2,0
16700,large2,0
16800,large2,0
16900,large2,0
17000,large2,0
17100,large2,0
17200,large2,0
17300,large2,0
17400,large2,0
17500,large2,0
17600,large2,0
17700,large2,0
17800,large2,0
17900,large2,0
18000,large2,0
18100,large2,500000
18200,large2,0
18300,large2,0
18400,large2,0
18500,large2,0
18600,large2,0
18700,large2,0
18800,large2,0
18900,large2,0
19000,large2,0
19100,large2,0
19200,large2,0
19300,large2,0
19400,large2,0
19500,large2,0
19600,large2,0
19700,large2,0
19800,large2,0
19900,large2,0
20000,large2,0
20100,large2,0
20200,large2,500000
20300,large2,0
20400,large2,0
20500,large2,0
20600,large2,0
20700,large2,0
20800,large2,0
20900,large2,0
21000,large2,0
21100,large2,0
21200,large2,0
21300,large2,0
21400,large2,0
21500,large2,0
21600,large2,0
21700,large2,0
21800,large2,0
21900,large2,0
22000,large2,0
22100,large2,0
22200,large2,0
22300,large2,0
22400,large2,0
22500,large2,0
22600,large2,0
22700,large2,0
22800,large2,0
22900,large2,0
23000,large2,0
23100,large2,0
23200,large2,0
23300,large2,0
23400,large2,0
23500,large2,0
23600,large2,0
23700,large2,0
23800,large2,0
23900,large2,0
24000,large2,0
24100,large2,0
24200,large2,0
24300,large2,0
24400,large2,0
24500,large2,0
24600,large2,0
24700,large2,0
24800,large2,0
24900,large2,0
25000,large2,0
25100,large2,0
25200,large2,0
25300,large2,0
25400,large2,0
25500,large2,0
25600,large2,0
25700,large2,0
25800,large2,0
25900,large2,0
26000,large2,0
26100,large2,0
26200,large2,0
26300,large2,0
26400,large2,0
26500,large2,0
26600,large2,0
26700,large2,0
26800,large2,0
26900,large2,0
27000,large2,0
27100,large2,0
27200,large2,0
27300,large2,0
27400,large2,0
27500,large2,0
27600,large2,0
27700,large2,0
27800,large2,0
27900,large2,0
28000,large2,0
28100,large2,0
28200,large2,0
28300,large2,0
28400,large2,0
28500,large2,0
28600,large2,0
28700,large2,0
28800,large2,0
28900,large2,0
29000,large2,0
29100,large2,0
29200,large2,0
29300,large2,0
29400,large2,0
29500,large2,0
29600,large2,0
29700,large2,0
29800,large2,0
29900,large2,0
30000,large2,0
30100,large2,0
30200,large2,0
30300,large2,0
30400,large2,0
30500,large2,0
30600,large2,0
30700,large2,0
30800,large2,0
30900,large2,0
31000,large2,0
31100,large2,0
31200,large2,0
31300,large2,0
31400,large2,0
31500,large2,0
31600,large2,0
31700,large2,0
31800,large2,0
31900,large2,0
32000,large2,0
32100,large2,0
32200,large2,0
32300,large2,0
32400,large2,0
32500,large2,0
32600,large2,0
32700,large2,0
32800,large2,0
32900,large2,0
33000,large2,0
33100,large2,0
33200,large2,0
33300,large2,0
33400,large2,0
33500,large2,0
33600,large2,0
33700,large2,0
33800,large2,0
33900,large2,0
34000,large2,0
34100,large2,0
34200,large2,0
34300,large2,0
34400,large2,0
34500,large2,0
34600,large2,0
34700,large2,0
34800,large2,0
34900,large2,0
35000,large2,0
35100,large2,0
35200,large2,0
35300,large2,0
35400,large2,0
35500,large2,0
35600,large2,0
35700,large2,0
35800,large2,0
35900,large2,0
36000,large2,0
36100,large2,0
36200,large2,0
36300,large2,0
36400,large2,0
36500,large2,0
36600,large2,0
36700,large2,0
36800,large2,0
36900,large2,0
37000,large2,0
37100,large2,0
37200,large2,0
37300,large2,0
37400,large2,0
37500,large2,0
37600,large2,0
37700,large2,0
37800,large2,0
37900,large2,0
38000,large2,0
38100,large2,0
38200,large2,0
38300,large2,0
38400,large2,0
38500,large2,0
38600,large2,0
38700,large2,0
38800,large2,0
38900,large2,0
39000,large2,0
39100,large2,0
39200,large2,0
39300,large2,0
39400,large2,0
39500,large2,0
39600,large2,0
39700,large2,0
39800,large2,0
39900,large2,0
40000,large2,0
40100,large2,0
40200,large2,0
40300,large2,0
40400,large2,0
40500,large2,0
40600,large2,0
40700,large2,0
40800,large2,0
40900,large2,0
41000,large2,0
41100,large2,0
41200,large2,0
41300,large2,0
41400,large2,0
41500,large2,0
41600,large2,0
41700,large2,0
41800,large2,0
41900,large2,0
42000,large2,0
42100,large2,0
42200,large2,0
42300,large2,0
42400,large2,0
42500,large2,0
42600,large2,0
42700,large2,0
42800,large2,0
42900,large2,0
43000,large2,0
43100,large2,0
43200,large2,0
43300,large2,0
43400,large2,0
43500,large2,0
43600,large2,0
43700,large2,0
43800,large2,0
43900,large2,0
44000,large2,0
44100,large2,0
44200,large2,0
44300,large2,0
44400,large2,0
44500,large2,0
44600,large2,0
44700,large2,0
44800,large2,0
44900,large2,0
45000,large2,0
45100,large2,0
45200,large2,0
45300,large2,0
45400,large2,0
45500,large2,0
45600,large2,0
45700,large2,0
45800,large2,0
45900,large2,0
46000,large2,0
46100,large2,0
46200,large2,0
46300,large2,0
46400,large2,0
46500,large2,0
46600,large2,0
46700,large2,0
46800,large2,0
46900,large2,0
47000,large2,0
47100,large2,0
47200,large2,0
47300,large2,0
47400,large2,0
47500,large2,0
47600,large2,0
47700,large2,0
47800,large2,0
47900,large2,0
48000,large2,0
48100,large2,0
48200,large2,0
48300,large2,0
48400,large2,0
48500,large2,0
48600,large2,0
48700,large2,0
48800,large2,0
48900,large2,0
49000,large2,0
49100,large2,0
49200,large2,0
49300,large2,0
49400,large2,0
49500,large2,0
49600,large2,0
49700,large2,0
49800,large2,0
49900,large2,0
50000,large2,0
50100,large2,0
50200,large2,0
50300,large2,0
50400,large2,0
50500,large2,0
50600,large2,0
50700,large2,0
50800,large2,0
50900,large2,0
51000,large2,0
51100,large2,0
51200,large2,0
51300,large2,0
51400,large2,0
51500,large2,0
51600,large2,0
51700,large2,0
51800,large2,0
51900,large2,0
52000,large2,0
52100,large2,0
52200,large2,0
52300,large2,0
52400,large2,0
52500,large2,0
52600,large2,0
52700,large2,0
52800,large2,0
52900,large2,0
53000,large2,0
53100,large2,0
53200,large2,0
53300,large2,0
53400,large2,0
53500,large2,0
53600,large2,0
53700,large2,0
53800,large2,0
53900,large2,0
54000,large2,0
54100,large2,0
54200,large2,0
54300,large2,0
54400,large2,0
