Time (MS),Core Type,Frequency
100,medium1,910000
200,medium1,799000
300,medium1,1663000
400,medium1,2130000
500,medium1,1836000
600,medium1,2130000
700,medium1,2130000
800,medium1,553000
900,medium1,553000
1000,medium1,1663000
1100,medium1,1663000
1200,medium1,1197000
1300,medium1,2130000
1400,medium1,2253000
1500,medium1,2130000
1600,medium1,1024000
1700,medium1,799000
1800,medium1,799000
1900,medium1,1328000
2000,medium1,1663000
2100,medium1,553000
2200,medium1,1663000
2300,medium1,1663000
2400,medium1,2130000
2500,medium1,799000
2600,medium1,799000
2700,medium1,1197000
2800,medium1,2130000
2900,medium1,2130000
3000,medium1,1663000
3100,medium1,1663000
3200,medium1,1328000
3300,medium1,1663000
3400,medium1,1663000
3500,medium1,2130000
3600,medium1,2130000
3700,medium1,2130000
3800,medium1,910000
3900,medium1,553000
4000,medium1,910000
4100,medium1,799000
4200,medium1,799000
4300,medium1,799000
4400,medium1,799000
4500,medium1,799000
4600,medium1,799000
4700,medium1,799000
4800,medium1,799000
4900,medium1,799000
5000,medium1,1663000
5100,medium1,2130000
5200,medium1,1663000
5300,medium1,799000
5400,medium1,799000
5500,medium1,799000
5600,medium1,799000
5700,medium1,799000
5800,medium1,799000
5900,medium1,799000
6000,medium1,1197000
6100,medium1,2130000
6200,medium1,799000
6300,medium1,799000
6400,medium1,1663000
6500,medium1,799000
6600,medium1,799000
6700,medium1,799000
6800,medium1,799000
6900,medium1,799000
7000,medium1,799000
7100,medium1,799000
7200,medium1,910000
7300,medium1,799000
7400,medium1,799000
7500,medium1,1663000
7600,medium1,1836000
7700,medium1,2130000
7800,medium1,2130000
7900,medium1,553000
8000,medium1,1663000
8100,medium1,1663000
8200,medium1,1663000
8300,medium1,799000
8400,medium1,799000
8500,medium1,910000
8600,medium1,1197000
8700,medium1,799000
8800,medium1,1197000
8900,medium1,799000
9000,medium1,1663000
9100,medium1,1836000
9200,medium1,2130000
9300,medium1,2130000
9400,medium1,553000
9500,medium1,553000
9600,medium1,1663000
9700,medium1,910000
9800,medium1,799000
9900,medium1,910000
10000,medium1,1197000
10100,medium1,1663000
10200,medium1,553000
10300,medium1,553000
10400,medium1,1663000
10500,medium1,1663000
10600,medium1,1663000
10700,medium1,1663000
10800,medium1,1663000
10900,medium1,1663000
11000,medium1,1663000
11100,medium1,1663000
11200,medium1,1663000
11300,medium1,1663000
11400,medium1,1663000
11500,medium1,1663000
11600,medium1,1663000
11700,medium1,1663000
11800,medium1,1663000
11900,medium1,799000
12000,medium1,799000
12100,medium1,1197000
12200,medium1,799000
12300,medium1,799000
12400,medium1,799000
12500,medium1,1663000
12600,medium1,1836000
12700,medium1,2130000
12800,medium1,2130000
12900,medium1,553000
13000,medium1,1663000
13100,medium1,799000
13200,medium1,799000
13300,medium1,1197000
13400,medium1,799000
13500,medium1,1663000
13600,medium1,799000
13700,medium1,1663000
13800,medium1,1836000
13900,medium1,2130000
14000,medium1,2130000
14100,medium1,799000
14200,medium1,799000
14300,medium1,799000
14400,medium1,910000
14500,medium1,799000
14600,medium1,799000
14700,medium1,799000
14800,medium1,1663000
14900,medium1,1836000
15000,medium1,2130000
15100,medium1,553000
15200,medium1,553000
15300,medium1,799000
15400,medium1,799000
15500,medium1,1197000
15600,medium1,2130000
15700,medium1,1663000
15800,medium1,1836000
15900,medium1,2130000
16000,medium1,2130000
16100,medium1,553000
16200,medium1,799000
16300,medium1,799000
16400,medium1,799000
16500,medium1,910000
16600,medium1,799000
16700,medium1,799000
16800,medium1,1836000
16900,medium1,2130000
17000,medium1,2130000
17100,medium1,553000
17200,medium1,1663000
17300,medium1,1663000
17400,medium1,1663000
17500,medium1,1663000
17600,medium1,1663000
17700,medium1,1663000
17800,medium1,1663000
17900,medium1,799000
18000,medium1,799000
18100,medium1,1197000
18200,medium1,799000
18300,medium1,1663000
18400,medium1,799000
18500,medium1,1663000
18600,medium1,2130000
18700,medium1,553000
18800,medium1,553000
18900,medium1,799000
19000,medium1,799000
19100,medium1,910000
19200,medium1,799000
19300,medium1,799000
19400,medium1,799000
19500,medium1,799000
19600,medium1,1836000
19700,medium1,2130000
19800,medium1,553000
19900,medium1,1663000
20000,medium1,799000
20100,medium1,799000
20200,medium1,1197000
20300,medium1,799000
20400,medium1,1663000
20500,medium1,799000
20600,medium1,1663000
20700,medium1,1836000
20800,medium1,2130000
20900,medium1,2130000
21000,medium1,553000
21100,medium1,1663000
21200,medium1,1663000
21300,medium1,1663000
21400,medium1,1663000
21500,medium1,1663000
21600,medium1,1663000
21700,medium1,1663000
21800,medium1,1663000
21900,medium1,1663000
22000,medium1,1663000
22100,medium1,1663000
22200,medium1,1663000
22300,medium1,1663000
22400,medium1,1663000
22500,medium1,553000
22600,medium1,553000
22700,medium1,1663000
22800,medium1,1663000
22900,medium1,1663000
23000,medium1,799000
23100,medium1,799000
23200,medium1,799000
23300,medium1,910000
23400,medium1,910000
23500,medium1,799000
23600,medium1,1663000
23700,medium1,799000
23800,medium1,1663000
23900,medium1,1836000
24000,medium1,2130000
24100,medium1,2130000
24200,medium1,553000
24300,medium1,1663000
24400,medium1,799000
24500,medium1,799000
24600,medium1,910000
24700,medium1,799000
24800,medium1,799000
24900,medium1,799000
25000,medium1,799000
25100,medium1,1836000
25200,medium1,2130000
25300,medium1,2130000
25400,medium1,553000
25500,medium1,553000
25600,medium1,1663000
25700,medium1,1663000
25800,medium1,1663000
25900,medium1,1663000
26000,medium1,1663000
26100,medium1,1663000
26200,medium1,1663000
26300,medium1,1663000
26400,medium1,1663000
26500,medium1,553000
26600,medium1,553000
26700,medium1,553000
26800,medium1,1663000
26900,medium1,1663000
27000,medium1,1663000
27100,medium1,1663000
27200,medium1,1663000
27300,medium1,1663000
27400,medium1,1663000
27500,medium1,1663000
27600,medium1,1663000
27700,medium1,1663000
27800,medium1,1663000
27900,medium1,1663000
28000,medium1,1663000
28100,medium1,1663000
28200,medium1,1663000
28300,medium1,1663000
28400,medium1,1663000
28500,medium1,1663000
28600,medium1,1663000
28700,medium1,1663000
28800,medium1,1663000
28900,medium1,1663000
29000,medium1,1663000
29100,medium1,1663000
29200,medium1,1663000
29300,medium1,1663000
29400,medium1,1663000
29500,medium1,1663000
29600,medium1,1663000
29700,medium1,1663000
29800,medium1,1663000
29900,medium1,1663000
30000,medium1,1663000
30100,medium1,1663000
30200,medium1,1663000
30300,medium1,1663000
30400,medium1,1663000
30500,medium1,1663000
30600,medium1,1663000
30700,medium1,1663000
30800,medium1,1663000
30900,medium1,1663000
31000,medium1,1663000
31100,medium1,1663000
