Time (MS),Core Type,Frequency
100,small 3,738000
200,small 3,0
300,small 3,0
400,small 3,1328000
500,small 3,300000
600,small 3,1328000
700,small 3,1328000
800,small 3,1803000
900,small 3,1803000
1000,small 3,0
1100,small 3,1401000
1200,small 3,1328000
1300,small 3,0
1400,small 3,1803000
1500,small 3,1803000
1600,small 3,0
1700,small 3,930000
1800,small 3,930000
1900,small 3,1598000
2000,small 3,1803000
2100,small 3,1803000
2200,small 3,0
2300,small 3,0
2400,small 3,1401000
2500,small 3,930000
2600,small 3,930000
2700,small 3,738000
2800,small 3,1328000
2900,small 3,1704000
3000,small 3,1401000
3100,small 3,0
3200,small 3,1598000
3300,small 3,1803000
3400,small 3,1704000
3500,small 3,1704000
3600,small 3,1401000
3700,small 3,1704000
3800,small 3,738000
3900,small 3,1803000
4000,small 3,738000
4100,small 3,930000
4200,small 3,930000
4300,small 3,930000
4400,small 3,930000
4500,small 3,930000
4600,small 3,930000
4700,small 3,930000
4800,small 3,930000
4900,small 3,0
5000,small 3,1803000
5100,small 3,1803000
5200,small 3,0
5300,small 3,930000
5400,small 3,930000
5500,small 3,930000
5600,small 3,930000
5700,small 3,930000
5800,small 3,930000
5900,small 3,930000
6000,small 3,738000
6100,small 3,1328000
6200,small 3,930000
6300,small 3,930000
6400,small 3,1401000
6500,small 3,930000
6600,small 3,930000
6700,small 3,930000
6800,small 3,930000
6900,small 3,930000
7000,small 3,930000
7100,small 3,930000
7200,small 3,0
7300,small 3,0
7400,small 3,0
7500,small 3,0
7600,small 3,300000
7700,small 3,1328000
7800,small 3,1328000
7900,small 3,1803000
8000,small 3,0
8100,small 3,0
8200,small 3,0
8300,small 3,930000
8400,small 3,930000
8500,small 3,738000
8600,small 3,738000
8700,small 3,0
8800,small 3,738000
8900,small 3,0
9000,small 3,0
9100,small 3,300000
9200,small 3,1328000
9300,small 3,1328000
9400,small 3,1803000
9500,small 3,1803000
9600,small 3,0
9700,small 3,738000
9800,small 3,930000
9900,small 3,0
10000,small 3,738000
10100,small 3,0
10200,small 3,1803000
10300,small 3,1803000
10400,small 3,0
10500,small 3,0
10600,small 3,0
10700,small 3,0
10800,small 3,0
10900,small 3,0
11000,small 3,0
11100,small 3,0
11200,small 3,0
11300,small 3,0
11400,small 3,0
11500,small 3,0
11600,small 3,0
11700,small 3,0
11800,small 3,0
11900,small 3,930000
12000,small 3,930000
12100,small 3,738000
12200,small 3,0
12300,small 3,0
12400,small 3,0
12500,small 3,0
12600,small 3,300000
12700,small 3,1328000
12800,small 3,1328000
12900,small 3,1803000
13000,small 3,0
13100,small 3,930000
13200,small 3,930000
13300,small 3,738000
13400,small 3,0
13500,small 3,0
13600,small 3,0
13700,small 3,0
13800,small 3,300000
13900,small 3,1328000
14000,small 3,1328000
14100,small 3,930000
14200,small 3,930000
14300,small 3,930000
14400,small 3,738000
14500,small 3,0
14600,small 3,0
14700,small 3,0
14800,small 3,0
14900,small 3,300000
15000,small 3,1328000
15100,small 3,1803000
15200,small 3,1803000
15300,small 3,930000
15400,small 3,930000
15500,small 3,738000
15600,small 3,1328000
15700,small 3,0
15800,small 3,300000
15900,small 3,1328000
16000,small 3,1328000
16100,small 3,1803000
16200,small 3,930000
16300,small 3,930000
16400,small 3,930000
16500,small 3,738000
16600,small 3,0
16700,small 3,0
16800,small 3,300000
16900,small 3,1328000
17000,small 3,1328000
17100,small 3,1803000
17200,small 3,0
17300,small 3,0
17400,small 3,0
17500,small 3,0
17600,small 3,0
17700,small 3,0
17800,small 3,0
17900,small 3,930000
18000,small 3,930000
18100,small 3,738000
18200,small 3,0
18300,small 3,0
18400,small 3,0
18500,small 3,0
18600,small 3,1328000
18700,small 3,1803000
18800,small 3,1803000
18900,small 3,930000
19000,small 3,930000
19100,small 3,738000
19200,small 3,0
