Time (MS),Core Type,Frequency
100,small,738000.0
100,medium, 910000.0
100,large, 1106000.0
200,small,930000.0
200,medium, 799000.0
200,large, 1582000.0
300,small,930000.0
300,medium, 1663000.0
300,large, 500000.0
400,small,1328000.0
400,medium, 2130000.0
400,large, 1106000.0
500,small,300000.0
500,medium, 1836000.0
500,large, 500000.0
600,small,1328000.0
600,medium, 2130000.0
600,large, 1106000.0
700,small,1328000.0
700,medium, 2130000.0
700,large, 1106000.0
800,small,1803000.0
800,medium, 553000.0
800,large, 2401000.0
900,small,1803000.0
900,medium, 553000.0
900,large, 2401000.0
1000,small,1598000.0
1000,medium, 1663000.0
1000,large, 2507000.0
1100,small,1401000.0
1100,medium, 1663000.0
1100,large, 500000.0
1200,small,1328000.0
1200,medium, 1197000.0
1200,large, 1826000.0
1300,small,1598000.0
1300,medium, 2130000.0
1300,large, 1426000.0
1400,small,1803000.0
1400,medium, 2253000.0
1400,large, 2802000.0
1500,small,1803000.0
1500,medium, 2130000.0
1500,large, 2802000.0
1600,small,930000.0
1600,medium, 1024000.0
1600,large, 1106000.0
1700,small,930000.0
1700,medium, 799000.0
1700,large, 851000.0
1800,small,930000.0
1800,medium, 799000.0
1800,large, 851000.0
1900,small,1598000.0
1900,medium, 1328000.0
1900,large, 2252000.0
2000,small,1803000.0
2000,medium, 1663000.0
2000,large, 2401000.0
2100,small,1803000.0
2100,medium, 553000.0
2100,large, 2401000.0
2200,small,1803000.0
2200,medium, 1663000.0
2200,large, 2704000.0
2300,small,930000.0
2300,medium, 1663000.0
2300,large, 500000.0
2400,small,1401000.0
2400,medium, 2130000.0
2400,large, 500000.0
2500,small,930000.0
2500,medium, 799000.0
2500,large, 851000.0
2600,small,930000.0
2600,medium, 799000.0
2600,large, 851000.0
2700,small,738000.0
2700,medium, 1197000.0
2700,large, 500000.0
2800,small,1328000.0
2800,medium, 2130000.0
2800,large, 984000.0
2900,small,1704000.0
2900,medium, 2130000.0
2900,large, 851000.0
3000,small,1401000.0
3000,medium, 1663000.0
3000,large, 2401000.0
3100,small,1803000.0
3100,medium, 1663000.0
3100,large, 2704000.0
3200,small,1598000.0
3200,medium, 1328000.0
3200,large, 2252000.0
3300,small,1803000.0
3300,medium, 1663000.0
3300,large, 2704000.0
3400,small,1704000.0
3400,medium, 1663000.0
3400,large, 2401000.0
3500,small,1704000.0
3500,medium, 2130000.0
3500,large, 1106000.0
3600,small,1401000.0
