Time (MS),Core Type,Frequency
100,medium, 910000.0
200,medium, 799000.0
300,medium, 1663000.0
400,medium, 2130000.0
500,medium, 1836000.0
600,medium, 2130000.0
700,medium, 2130000.0
800,medium, 553000.0
900,medium, 553000.0
1000,medium, 1663000.0
1100,medium, 1663000.0
1200,medium, 1197000.0
1300,medium, 2130000.0
1400,medium, 2253000.0
1500,medium, 2130000.0
1600,medium, 1024000.0
1700,medium, 799000.0
1800,medium, 799000.0
1900,medium, 1328000.0
2000,medium, 1663000.0
2100,medium, 553000.0
2200,medium, 1663000.0
2300,medium, 1663000.0
2400,medium, 2130000.0
2500,medium, 799000.0
2600,medium, 799000.0
2700,medium, 1197000.0
2800,medium, 2130000.0
2900,medium, 2130000.0
3000,medium, 1663000.0
3100,medium, 1663000.0
3200,medium, 1328000.0
3300,medium, 1663000.0
3400,medium, 1663000.0
3500,medium, 2130000.0
3600,medium, 2130000.0
3700,medium, 2130000.0
3800,medium, 910000.0
3900,medium, 553000.0
4000,medium, 910000.0
4100,medium, 799000.0
4200,medium, 799000.0
4300,medium, 799000.0
4400,medium, 799000.0
4500,medium, 799000.0
4600,medium, 799000.0
4700,medium, 799000.0
4800,medium, 799000.0
4900,medium, 799000.0
5000,medium, 1663000.0
5100,medium, 2130000.0
5200,medium, 1663000.0
5300,medium, 799000.0
5400,medium, 799000.0
5500,medium, 799000.0
5600,medium, 799000.0
5700,medium, 799000.0
5800,medium, 799000.0
5900,medium, 799000.0
6000,medium, 1197000.0
6100,medium, 2130000.0
6200,medium, 799000.0
6300,medium, 799000.0
6400,medium, 1663000.0
6500,medium, 799000.0
6600,medium, 799000.0
6700,medium, 799000.0
6800,medium, 799000.0
6900,medium, 799000.0
7000,medium, 799000.0
7100,medium, 799000.0
7200,medium, 910000.0
7300,medium, 799000.0
7400,medium, 799000.0
7500,medium, 1663000.0
7600,medium, 1836000.0
7700,medium, 2130000.0
7800,medium, 2130000.0
7900,medium, 553000.0
8000,medium, 1663000.0
8100,medium, 1663000.0
8200,medium, 1663000.0
8300,medium, 799000.0
8400,medium, 799000.0
8500,medium, 910000.0
8600,medium, 1197000.0
8700,medium, 799000.0
8800,medium, 1197000.0
8900,medium, 799000.0
9000,medium, 1663000.0
9100,medium, 1836000.0
9200,medium, 2130000.0
9300,medium, 2130000.0
9400,medium, 553000.0
9500,medium, 553000.0
9600,medium, 1663000.0
9700,medium, 910000.0
9800,medium, 799000.0
9900,medium, 910000.0
10000,medium, 1197000.0
10100,medium, 1663000.0
10200,medium, 553000.0
10300,medium, 553000.0
10400,medium, 1663000.0
10500,medium, 1663000.0
10600,medium, 1663000.0
10700,medium, 1663000.0
10800,medium, 1663000.0
10900,medium, 1663000.0
11000,medium, 1663000.0
11100,medium, 1663000.0
11200,medium, 1663000.0
11300,medium, 1663000.0
11400,medium, 1663000.0
11500,medium, 1663000.0
11600,medium, 1663000.0
11700,medium, 1663000.0
11800,medium, 1663000.0
11900,medium, 799000.0
12000,medium, 799000.0
12100,medium, 1197000.0
12200,medium, 799000.0
12300,medium, 799000.0
12400,medium, 799000.0
12500,medium, 1663000.0
12600,medium, 1836000.0
12700,medium, 2130000.0
12800,medium, 2130000.0
12900,medium, 553000.0
13000,medium, 1663000.0
13100,medium, 799000.0
13200,medium, 799000.0
13300,medium, 1197000.0
13400,medium, 799000.0
13500,medium, 1663000.0
